DOI,REVIEWER,DATA AVAILABILITY,TRACERS,ISOTOPE-METHOD,COMPARTMENT,COUNTRY,CATCHMENT,LATITUDE,LONGITUDE,ELEVATION,GEOLOGICAL SYSTEM,MODEL,STUDY LENGTH,SAMPLING FREQUENCY,OBJECTIVE,KEYWORDS
https://www.tandfonline.com/doi/full/10.1080/02626667.2010.527847,Şansel Bildiren,Partly (upon request authors),Stable water isotopes,Isotope Ratio Mass Spectrometry,Deep Ground Water,Ghana ,Densu river basin ,7.94,-1.02,The area has steep to moderate slope and elevation ranges from 584 - 1171m above mean sea level.,The Densu River basin is mainly underlain by the Proterozoic basin-type granitoid batholiths associated with gneiss: the so-called Cape Coast Granite Complex.,"Tracer-aided model, Process based and/or conceptual model, Hydrograph separation, isotope peak-shift method",years,monthly,"A study of water isotope (δ2 H, δ18O) depth profiles was carried out to estimate groundwater recharge in the Densu River basin in Ghana, at three chosen observation sites that differ in their altitude, geology, climate and vegetation.",water isotopes; unsaturated zone; groundwater recharge; Densu River basin; Ghana
https://doi.org/10.2136/vzj2017.09.0168,Şansel Bildiren,"Yes (e.g., in repository or paper)",Stable water isotopes," a laser-based cavity ring-down  spectrometer (L2130-i analyzer, Picarro). ",Shallow Ground Water,Germany- Wüstebach.,Wüstebach catchment,50.3,6.32,630 m,"The  Wüstebach catchment is covered with a 1- to 3-m-thick periglacial  solifluction layer, and the bedrock is fractured Devonian shale and  sandstone","Process based and/or conceptual model, inverse modeling study.",years,weekly,"it performed an inverse modeling study in which we estimated soil hydraulic parameters and dispersivities of layered soils from soil water content, matric potential,and stable water isotope (d18O) measurements in weighable lysimeter systems.",unspecified
https://doi.org/10.1016/j.scitotenv.2021.147904,Şansel Bildiren ,Partly (upon request authors),"Stable water isotopes, Trititum, Electrical Conductivity",Isotope Ratio Mass Spectrometry,Deep Ground Water,Spain ,"The Talave tunnel (TT) is an infrastructure of a major water transfer from the Tajo river basin (center Spain) to the Segura river basin (SE Spain), crossing the Júcar river basin.",38.619,-1.996,max depth of 320 m ,"From the geological point of view, it is part of both the External Prebetic domain of the Betic Range, to the S, and the Tabular Plateau, to the N. The External Prebetic is characterized by a moderate thickness of the Mesozoic cover, formed mainly by Jurassic carbonate rocks (Dogger and Lias) and by the rare presence of Terminal Jurassic (Malm), Lower Cretaceous and Paleogene rocks. This area is characterized by a complex geological structure consisting of a succession of folds and thrust.","Tracer-aided model, Hydrograph separation,  groundwater flow numerical modelling",years ,irregular,"The main objectives of this paper are understanding the historical and current tunnel-massif hydrodynamic relationships, and deciphering the origin of groundwater inflow into the tunnel.","Talave tunnel, Groundwater level drawdown, Groundwater inflows origin, Hydrochemistry, Water isotopes."
https://boris.unibe.ch/63767/,Şansel Bildiren,Partly (upon request authors),Stable water isotopes,"Isotope Ratio Mass Spectrometry, a Thermo Finnigan DELTAplus XP continuous flow mass spectrometer (CF-IRMS, DELTAplus XP, Thermo, Bremen, Germany) and a liquid water isotope analyzer (Los Gatos Research, Inc. (LGR), Mountain View, USA)",Shallow Ground Water,Switzerland ,Urseren Valley ,46.62,8.58,1442 m," Its main axis is parallel to a geological fault line which separates the granites of the Aar massif and the gneisses of the so-called Altkristallin from the paragneisses and granites of the Gotthard massif. The two massifs are separated by softer Permocarbonic and Mesozoic sediments, the so-called Urseren Zone. These vertically dipping layers consist of Permocarbonic sandy-clay sediments and Mesozoic sandstones, rauhwackes, dolomites, dark clay–marl, marl, clays and limestones.","Tracer-aided model, Hydrograph separation,  a one-dimensional advection–dispersion model",years ,weekly and monthly ,"In this study, we investigated the suitability of soil water stable isotope (d18O) depth profiles to identify water flow paths along two transects of steep subalpine hillslopes in the Swiss Alps.","Stable isotopes, Soil water, Steep hillslopes, Modeling, Water pathways, Snowmelt. "
https://onlinelibrary.wiley.com/doi/full/10.1002/hyp.13884,Şansel Bildiren,Partly (upon request authors),Stable water isotopes,Isotope Ratio Mass Spectrometry,Shallow Ground Water,Switzerland,Tsalet catchment ,46.19,7.52,"2,568 m a.s.l ","The Tsalet catchment belongs to the Pennine domain of the Alps.Rock outcrops mainly consist of quartzite, gneiss, calcschist and marbles. In the upper part of the catchment, evaporitic rock consisting of gypsum and cargneule outcrops are found. Cargneule originates from the alteration of dolomite-bearing evaporites. ",Process based and/or conceptual model,years ,Seosonal,The objectives of this study are to quantify seasonal groundwater storage variations in a small Swiss alpine catchment and to evaluate the capabilities of time-lapse gravimetry in the identification of zones of high groundwater storage fluctuations. ,"alpine catchment, gravimetry, groundwater storage, stable isotopes, surface water groundwater interactions."
https://doi.org/10.1016/j.apgeochem.2020.104780,Christos Christofi,"Yes (e.g., in repository or paper)","Stable water isotopes, Electrical Conductivity, Major Ions",Laser Absorption Spectroscopy,Deep Ground Water,Cyprus,Kargiotis ,35.04,32.886,450,Ophiolites,Hydrogeochemical ,"0,11,2",irregular,To develop hydrogeological descriptions on observed groundwater types by using stable isotopes and hydrochemistry ,Stable isotopes
https://doi.org/10.1016/j.jhydrol.2004.11.001 ,Christos Christofi,"Yes (e.g., in repository or paper)","Stable water isotopes, Trititum, Cl",Isotope Ratio Mass Spectrometry,Both deep and shallow (Springs) groundwater and ,Cyprus,Kouris,34.847,32.912,600,Ophiolites,Regression equation for recharge elevation ,"0,0,3",irregular,To describe groundwater flow in the Kouris catchment,Stable isotopes; Ophiolites; Semi-arid climate; Cyprus; Groundwater; Recharge
https://doi.org/10.1016/j.apgeochem.2005.03.007 ,Christos Christofi,"Yes (e.g., in repository or paper)",Trititum,liquid scintillation counting,Groundwater and surface water,Cyprus,Kouris,34.847,32.912,600,Ophiolites,Tracer-aided model,"0,0,3",irregular,"To improve the understanding of groundwater hydrology of the Kouris catchment, including a better understanding of the river–aquifer interactions. ","Tritium, Kouris, Ophiolites, Cyprus, Groundwater"
https://inis.iaea.org/search/search.aspx?orig_q=RN:10481948,Christos Christofi,"Yes (e.g., in repository or paper)","Stable water isotopes, Trititum, Major Ions","Isotope Ratio Mass Spectrometry, Liquid Scintillation Analyser","Deep groundwater, springs, rivers, snow ",Cyprus,The Troodos mountain as a whole ,34.922,32.88,1000,Ophiolites,Tracer-aided model,"0,11,6",irregular,To obtain a better understanding of the hydrogeologic system and its water resource potential: through the application of environmental isotope:,"environmental isotopes, Troodos, Cyprus"
https://piahs.copernicus.org/articles/369/25/2015/,Harsh Beria,No,Stable water isotopes,Laser Absorption Spectroscopy,Deep Ground Water,Switzerland,Erlenbach (Switzerland),47.045,8.708,"Erlenbach (1100 and 1550m a.s.l.), ",Not mentioned,Hydrograph separation,Erlenbach (starting 2010),biweekly and irregular,"To evaluate how summer low flows and droughts are affected by the winter snowpack in Alpbach (Prealps, central Switzerland), Gudjaretis-Tskali (Little Caucasus, central Georgia), and Kamenice (Jizera Mountains, northern Czech Republic).","stable water isotopes, groundwater recharge"
https://piahs.copernicus.org/articles/369/25/2015/,Harsh Beria,No,Stable water isotopes,Laser Absorption Spectroscopy,Deep Ground Water,Czech Republic,Uhlírská (Czech),50.832,15.149,Uhlírská (822m a.s.l),Not mentioned,Hydrograph separation,Uhlírská (starting 2006),biweekly and irregular,"To evaluate how summer low flows and droughts are affected by the winter snowpack in Alpbach (Prealps, central Switzerland), Gudjaretis-Tskali (Little Caucasus, central Georgia), and Kamenice (Jizera Mountains, northern Czech Republic).","stable water isotopes, groundwater recharge"
https://acsess.onlinelibrary.wiley.com/doi/full/10.2136/vzj2017.09.0170,Harsh Beria,Partly (upon request authors),Stable water isotopes,Isotope Ratio Mass Spectrometry,Deep Ground Water,Canada,St. Lawrence Lowlands (Canada),45.402,-74.046,Not mentioned,"Canada: glaciofluvial sediments up to 40-m thickness lying over a locally unconfined acquifer (40% posority, hydraulic conductivity: 10^(-5) to 10^(-4) m/s)",Process based and/or conceptual model,Canada: 1 month (May 2013),Canada: 1 sampling campaign only,Estimate groundwater recharge using stable water isotopes of precipitation and soil water,groundwater recharge;
https://doi.org/10.1007/s12665-019-8514-7,Taha ATTOU,"Yes (e.g., in repository or paper)","Stable water isotopes, Trititum, Electrical Conductivity, Dye Traces(fluorescein)",Isotope Ratio Mass Spectrometry,Springs,Turkey,Namazgah Dam Basin,41.01,30.06,200 m to  495 m,Sedimentary system with marine environment deposition.,Process based and/or conceptual model,1 Year,"2 Times in the year( 1 in Autumn, 1 in Spring,)","The objective was to identify protection zones of springs used for water supply, in order to develop water resource protection zones in other karstic regions where
limited data are available","Hydrogeochemistry, Isotopes, Drinking water basin"
